HORA (UTC),"VENTO, DIREï¿½ï¿½O HORARIA (gr) (ï¿½ (gr))","VENTO, VELOCIDADE HORARIA (m/s)",UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),TEMPERATURA Mï¿½XIMA NA HORA ANT. (AUT) (ï¿½C),TEMPERATURA Mï¿½NIMA NA HORA ANT. (AUT) (ï¿½C),"UMIDADE RELATIVA DO AR, HORARIA (%)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRECIPITAï¿½ï¿½O TOTAL, HORï¿½RIO (mm)","VENTO, RAJADA MAXIMA (m/s)",PRESSï¿½O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSï¿½O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)
21:00,-0.4848096202463369,3.4,94.0,88.0,19.7,18.9,94.0,880.0,1.0,7.4,880.0,879.4
22:00,-0.3090169943749477,3.1,96.0,94.0,19.0,18.6,95.0,880.4,0.8,7.4,880.4,880.0
23:00,-0.20791169081775987,3.0,96.0,95.0,18.9,18.7,95.0,881.0,0.0,5.4,881.0,880.4
00:00,-0.3420201433256686,3.0,95.0,95.0,18.8,18.5,95.0,881.5,0.0,5.6,881.5,881.0
01:00,-0.24192189559966787,3.1,96.0,95.0,18.6,18.5,96.0,882.0,0.4,5.5,882.0,881.5
02:00,-0.22495105434386534,3.1,96.0,96.0,18.6,18.4,96.0,882.1,0.2,5.5,882.1,882.0
03:00,-0.15643446504023112,3.5,97.0,96.0,18.5,18.3,97.0,881.5,0.4,5.3,882.1,881.5
04:00,-0.29237170472273716,3.4,97.0,94.0,18.5,18.3,95.0,880.9,0.2,7.4,881.5,880.9
05:00,-0.27563735581699894,3.8,96.0,95.0,18.5,18.4,95.0,880.3,0.0,6.8,880.9,880.3
06:00,-0.05233595624294437,4.1,96.0,95.0,18.5,18.2,96.0,879.8,0.0,6.8,880.3,879.8
07:00,-0.05233595624294437,2.9,97.0,96.0,18.3,18.2,97.0,879.7,0.2,6.0,879.8,879.6
08:00,0.03489949670250097,4.6,97.0,94.0,18.4,18.2,95.0,880.1,0.4,8.1,880.2,879.7
09:00,0.03489949670250097,4.1,96.0,95.0,18.3,17.9,96.0,880.6,0.0,7.5,880.6,880.1
10:00,0.224951054343865,3.3,97.0,96.0,18.2,17.9,96.0,881.2,0.6,7.1,881.2,880.6
11:00,0.15643446504023087,4.8,97.0,95.0,18.4,18.0,96.0,881.6,0.6,8.5,881.6,881.2
12:00,0.052335956242943835,5.0,96.0,95.0,18.8,18.3,95.0,882.0,0.2,8.7,882.0,881.6
13:00,-0.01745240643728356,4.4,96.0,95.0,19.0,18.6,96.0,882.3,4.0,8.3,882.3,882.0
14:00,-0.06975647374412564,5.5,96.0,93.0,19.3,18.7,94.0,882.2,2.6,9.4,882.4,882.2
15:00,-2.4492935982947064e-16,4.4,95.0,92.0,19.3,18.9,95.0,881.9,1.2,12.2,882.2,881.9
16:00,0.052335956242943835,7.0,95.0,94.0,19.0,18.5,94.0,881.2,2.0,11.3,881.9,881.2
17:00,0.17364817766693033,6.2,95.0,93.0,19.0,18.5,93.0,880.4,0.6,11.3,881.1,880.4
18:00,-0.06975647374412564,6.6,94.0,88.0,19.2,18.8,90.0,879.4,0.2,11.8,880.4,879.4
19:00,-0.1736481776669304,6.5,93.0,90.0,19.1,18.6,91.0,878.9,0.2,11.8,879.4,878.9
20:00,-0.10452846326765342,6.0,93.0,90.0,19.0,18.5,93.0,878.9,0.2,12.6,878.9,878.7
21:00,-0.1736481776669304,5.2,94.0,91.0,18.8,18.5,91.0,879.1,0.2,10.0,879.2,878.9
22:00,-0.20791169081775987,5.0,91.0,88.0,18.8,18.2,90.0,879.7,0.0,10.6,879.7,879.1
23:00,0.0697564737441253,4.4,92.0,90.0,18.2,18.1,92.0,880.3,0.0,8.7,880.3,879.7
00:00,0.20791169081775934,5.1,92.0,90.0,18.3,18.1,91.0,880.8,0.0,9.2,880.8,880.3
01:00,0.15643446504023087,5.3,93.0,91.0,18.3,18.1,93.0,881.2,0.0,9.5,881.2,880.8
02:00,0.13917310096006544,4.3,96.0,93.0,18.1,17.8,94.0,881.0,0.0,9.0,881.2,880.9
03:00,-0.034899496702500823,4.6,96.0,93.0,18.1,17.8,95.0,880.8,0.0,9.5,881.1,880.8
04:00,-0.01745240643728356,5.5,95.0,93.0,18.1,18.0,93.0,880.4,0.0,10.6,880.8,880.3
05:00,0.13917310096006544,5.2,96.0,93.0,18.0,17.7,95.0,879.8,0.0,9.3,880.4,879.8
06:00,0.15643446504023087,5.4,95.0,94.0,17.8,17.6,95.0,879.1,0.0,8.8,879.8,879.1
07:00,0.25881904510252074,5.7,95.0,94.0,17.7,17.6,94.0,878.8,0.2,9.6,879.1,878.8
08:00,0.27563735581699916,5.2,96.0,94.0,17.7,17.5,95.0,879.2,0.0,9.6,879.3,878.8
09:00,0.08715574274765817,5.1,96.0,95.0,17.7,17.5,95.0,879.8,0.0,8.8,879.8,879.2
10:00,0.3420201433256687,4.6,96.0,94.0,17.9,17.7,96.0,880.3,0.2,8.6,880.3,879.8
11:00,0.1908089953765448,5.2,96.0,94.0,18.4,17.8,94.0,880.8,0.0,9.2,880.8,880.3
12:00,0.13917310096006544,5.2,94.0,92.0,18.8,18.3,94.0,881.2,0.4,8.9,881.2,880.8
13:00,0.15643446504023087,5.2,95.0,93.0,19.2,18.6,94.0,881.3,1.6,10.2,881.3,881.2
14:00,0.20791169081775934,6.5,95.0,93.0,19.3,19.0,93.0,880.9,0.8,11.8,881.3,880.9
15:00,-0.20791169081775987,4.8,95.0,93.0,19.4,18.7,94.0,881.1,2.8,12.0,881.2,880.8
16:00,-0.40673664307580015,5.5,96.0,93.0,19.4,18.6,93.0,880.8,2.6,9.4,881.1,880.8
17:00,-0.5000000000000004,5.0,95.0,91.0,19.8,19.0,91.0,880.2,0.8,10.7,880.8,880.2
18:00,-0.19080899537654467,5.1,95.0,91.0,19.5,19.0,94.0,879.7,0.6,9.8,880.2,879.7
19:00,-0.4226182617406992,5.3,95.0,93.0,19.4,19.0,93.0,879.2,0.8,10.7,879.7,879.1
20:00,-0.29237170472273716,4.1,96.0,93.0,19.3,18.8,96.0,878.8,0.8,8.5,879.2,878.8
21:00,-0.6018150231520483,3.5,96.0,94.0,18.9,18.5,95.0,879.2,1.0,7.9,879.3,878.8
22:00,-0.3420201433256686,4.9,95.0,94.0,18.6,18.5,94.0,879.6,0.4,9.6,879.6,879.2
23:00,-0.5000000000000004,3.4,96.0,94.0,18.6,18.5,96.0,880.7,0.0,8.3,880.7,879.6
00:00,-0.45399049973954697,3.2,96.0,94.0,18.6,18.4,95.0,881.5,0.0,7.7,881.5,880.7
01:00,-0.37460659341591235,2.9,96.0,95.0,18.5,18.4,96.0,881.8,0.0,6.1,881.8,881.5
02:00,-0.45399049973954697,3.1,96.0,95.0,18.6,18.4,96.0,882.3,0.6,6.6,882.3,881.8
03:00,-0.4226182617406992,3.7,96.0,95.0,18.5,18.4,95.0,882.0,0.2,7.5,882.3,882.0
04:00,-0.40673664307580015,3.9,96.0,95.0,18.5,18.4,96.0,881.6,0.0,8.0,882.0,881.6
05:00,-0.5000000000000004,4.5,96.0,96.0,18.4,18.2,96.0,881.3,0.0,8.4,881.7,881.3
06:00,-0.45399049973954697,3.4,96.0,96.0,18.2,18.1,96.0,881.3,0.2,8.0,881.4,881.3
07:00,-0.27563735581699894,4.5,96.0,96.0,18.1,18.0,96.0,881.1,1.2,7.7,881.3,881.0
08:00,-0.4848096202463369,4.4,97.0,96.0,18.2,18.1,96.0,881.7,0.2,9.7,881.7,881.1
09:00,-0.4694715627858908,4.1,97.0,96.0,18.1,18.0,97.0,882.3,1.4,8.4,882.3,881.6
10:00,-0.4694715627858908,3.8,97.0,96.0,18.3,18.1,96.0,883.0,0.2,8.5,883.0,882.3
11:00,-0.6018150231520483,3.1,96.0,96.0,18.6,18.3,96.0,883.6,0.2,7.0,883.6,883.0
12:00,-0.4383711467890778,3.7,96.0,95.0,19.3,18.5,95.0,884.1,0.0,7.0,884.2,883.6
13:00,-0.544639035015027,4.0,95.0,93.0,19.5,19.1,94.0,884.6,0.0,8.4,884.6,884.1
14:00,-0.4383711467890778,3.8,95.0,89.0,20.9,19.3,90.0,884.4,0.4,8.2,884.6,884.4
15:00,-0.5735764363510465,4.0,94.0,84.0,21.5,20.0,93.0,884.2,1.6,8.6,884.4,884.1
16:00,-0.4383711467890778,3.9,96.0,80.0,23.1,18.6,95.0,883.8,6.0,9.4,884.2,883.8
17:00,-0.5591929034707466,2.6,95.0,91.0,20.1,19.2,94.0,883.0,1.2,8.4,883.8,883.0
18:00,-0.4848096202463369,2.4,95.0,91.0,20.2,19.6,93.0,882.5,1.2,6.0,883.0,882.5
19:00,-0.5000000000000004,3.2,93.0,82.0,22.2,20.1,82.0,882.0,0.0,5.7,882.5,882.0
20:00,-0.7193398003386512,2.6,84.0,77.0,22.7,21.6,77.0,881.4,0.0,5.5,882.0,881.4
21:00,-0.5735764363510465,2.4,81.0,74.0,23.1,21.9,81.0,881.9,0.0,5.5,881.9,881.4
22:00,-0.3090169943749477,2.3,85.0,80.0,22.0,20.4,85.0,882.9,0.0,5.4,882.9,881.9
23:00,-0.034899496702500823,2.0,93.0,85.0,20.4,19.7,93.0,883.4,0.0,4.4,883.4,882.9
00:00,0.10452846326765347,1.8,94.0,93.0,19.8,19.6,94.0,884.2,0.0,4.0,884.2,883.4
01:00,-0.19080899537654467,1.8,94.0,94.0,19.6,19.5,94.0,885.0,0.0,2.9,885.0,884.2
02:00,-0.3420201433256686,1.5,95.0,94.0,19.6,19.2,94.0,885.2,0.0,2.8,885.3,885.0
03:00,-0.7547095802227722,1.4,95.0,94.0,19.2,18.7,95.0,884.9,0.0,2.5,885.2,884.9
04:00,-0.08715574274765832,1.5,95.0,95.0,18.7,18.5,95.0,884.4,0.0,2.6,884.9,884.4
05:00,0.03489949670250097,1.8,96.0,95.0,18.9,18.6,96.0,884.1,0.0,3.4,884.4,884.1
06:00,-0.5877852522924734,1.1,96.0,96.0,18.9,18.1,96.0,883.8,0.0,3.2,884.1,883.8
07:00,-0.4694715627858908,1.4,97.0,96.0,18.3,17.9,97.0,883.8,0.0,2.0,883.9,883.7
08:00,0.3420201433256687,0.8,97.0,97.0,18.3,18.1,97.0,884.2,0.0,2.1,884.2,883.8
09:00,0.6427876096865393,0.6,97.0,97.0,18.6,18.3,97.0,884.6,0.0,1.8,884.6,884.2
10:00,0.35836794954530027,1.4,97.0,96.0,19.2,18.5,96.0,885.0,0.0,2.3,885.0,884.6
11:00,0.9510565162951535,1.2,96.0,93.0,19.7,19.1,93.0,885.8,0.0,2.3,885.8,885.1
12:00,0.15643446504023087,2.7,93.0,82.0,21.6,19.7,83.0,886.3,0.0,4.2,886.3,885.8
13:00,0.3090169943749474,2.5,86.0,77.0,23.0,21.1,78.0,886.6,0.0,4.6,886.6,886.3
14:00,-0.034899496702500823,3.6,87.0,75.0,23.2,21.1,81.0,886.1,0.4,6.4,886.6,886.1
15:00,-0.034899496702500823,3.5,83.0,63.0,24.8,22.1,66.0,885.4,0.0,6.8,886.1,885.3
16:00,0.17364817766693033,3.6,71.0,56.0,26.4,24.1,62.0,884.8,0.0,7.1,885.4,884.8
17:00,0.3255681544571567,4.9,75.0,55.0,27.1,23.2,74.0,884.3,0.0,11.1,884.8,884.2
18:00,-0.034899496702500823,4.7,79.0,70.0,23.5,22.3,71.0,883.4,0.0,10.3,884.3,883.4
19:00,-0.05233595624294437,4.3,73.0,67.0,24.1,22.9,67.0,883.2,0.0,7.4,883.4,883.2
20:00,0.13917310096006544,3.0,70.0,61.0,24.5,23.8,62.0,883.2,0.0,7.4,883.4,883.2
21:00,0.24192189559966773,3.3,72.0,62.0,24.3,22.6,72.0,883.8,0.0,6.7,883.8,883.2
22:00,0.7071067811865475,2.2,85.0,72.0,22.6,20.5,85.0,885.0,0.6,5.2,885.0,883.8
23:00,0.8290375725550417,0.8,92.0,84.0,20.5,19.4,91.0,885.2,2.2,4.0,885.2,885.0
00:00,-0.8829475928589271,0.3,94.0,90.0,19.5,19.2,94.0,885.6,0.4,1.6,885.6,885.2
01:00,0.8571673007021123,0.9,95.0,87.0,20.0,19.0,94.0,886.2,0.0,3.1,886.2,885.6
02:00,0.8987940462991669,1.0,94.0,91.0,19.7,18.9,94.0,886.4,0.0,2.0,886.4,886.2
03:00,0.8987940462991669,1.4,95.0,84.0,20.1,19.1,88.0,886.2,0.0,2.7,886.4,886.2
04:00,0.9876883405951378,1.6,94.0,88.0,19.8,19.4,94.0,885.8,0.0,4.6,886.2,885.8
05:00,0.9271838545667874,1.8,95.0,94.0,19.6,19.5,95.0,885.1,0.0,2.9,885.8,885.1
06:00,0.9702957262759965,2.4,95.0,94.0,19.7,19.5,94.0,884.8,0.0,4.3,885.1,884.8
07:00,0.9993908270190958,2.2,94.0,92.0,19.6,19.4,92.0,884.6,0.0,4.3,884.8,884.5
08:00,0.9702957262759965,2.1,95.0,92.0,19.6,19.0,95.0,884.8,0.6,5.1,885.0,884.6
09:00,0.981627183447664,3.0,95.0,93.0,19.3,19.0,94.0,885.4,0.0,5.4,885.4,884.8
10:00,0.984807753012208,1.2,94.0,93.0,19.2,19.0,94.0,885.9,0.2,5.3,885.9,885.4
11:00,0.9781476007338057,2.1,95.0,94.0,19.1,18.8,95.0,886.2,3.2,3.9,886.2,885.9
12:00,0.9271838545667874,1.6,95.0,90.0,19.4,18.8,93.0,886.7,0.8,3.8,886.7,886.2
13:00,0.9961946980917455,3.5,95.0,91.0,19.4,18.7,95.0,887.2,0.2,6.3,887.2,886.7
14:00,0.9135454576426009,2.1,95.0,94.0,18.9,18.7,94.0,886.9,1.6,6.1,887.2,886.9
15:00,0.838670567945424,1.7,94.0,83.0,20.9,18.8,86.0,886.5,0.2,4.3,886.9,886.5
16:00,0.6293203910498374,1.7,87.0,67.0,23.3,20.6,71.0,886.1,0.0,3.7,886.6,886.1
17:00,0.9335804264972017,1.4,73.0,59.0,25.0,22.8,68.0,885.3,0.0,4.4,886.1,885.3
18:00,0.7986355100472928,2.0,75.0,66.0,24.5,23.5,70.0,884.4,0.0,4.6,885.3,884.4
19:00,0.08715574274765817,1.8,73.0,68.0,24.2,23.7,72.0,884.0,0.0,3.9,884.4,883.9
20:00,-0.6946583704589976,3.1,78.0,71.0,24.0,22.2,76.0,884.1,0.0,6.0,884.1,883.9
21:00,-0.544639035015027,1.9,93.0,76.0,22.2,18.8,92.0,884.1,2.0,6.3,884.3,884.1
22:00,-0.48480962024633695,1.1,94.0,91.0,19.8,19.1,93.0,884.1,0.2,2.9,884.2,884.0
23:00,-0.5446390350150271,1.1,94.0,92.0,19.5,18.8,94.0,884.5,0.0,2.2,884.5,884.0
00:00,-0.9781476007338056,0.1,95.0,94.0,19.3,18.8,95.0,885.2,0.0,1.6,885.2,884.5
01:00,0.3420201433256689,1.3,96.0,94.0,19.6,19.1,94.0,885.4,0.0,2.4,885.4,885.2
02:00,0.03489949670250097,1.6,96.0,94.0,19.7,18.8,96.0,885.6,0.0,2.6,885.7,885.3
03:00,0.9271838545667874,2.1,97.0,96.0,19.1,18.6,97.0,885.6,0.0,3.3,885.6,885.3
04:00,0.9205048534524403,1.8,97.0,95.0,19.5,19.1,95.0,885.4,0.0,3.6,885.7,885.4
05:00,0.9135454576426009,2.5,95.0,93.0,19.5,19.3,94.0,885.3,0.0,4.5,885.4,885.3
06:00,0.9612616959383189,2.6,96.0,94.0,19.3,18.9,96.0,884.9,0.0,5.9,885.3,884.9
07:00,0.8987940462991669,1.6,96.0,95.0,19.0,18.5,96.0,885.0,3.4,5.4,885.1,884.9
08:00,0.9945218953682733,2.7,96.0,93.0,18.6,18.4,93.0,885.6,1.6,4.6,885.6,885.0
09:00,0.9993908270190958,1.8,95.0,93.0,18.7,18.4,94.0,885.8,1.4,4.7,885.8,885.6
10:00,0.052335956242943835,2.0,95.0,92.0,18.9,18.7,95.0,886.3,0.2,3.7,886.3,885.8
11:00,0.6018150231520483,2.2,95.0,82.0,21.5,18.8,83.0,886.8,0.0,4.2,886.8,886.3
12:00,0.7071067811865475,2.4,84.0,72.0,22.7,21.1,75.0,887.1,0.0,4.7,887.1,886.8
13:00,0.9902680687415704,3.2,79.0,70.0,23.5,22.2,74.0,887.0,0.0,5.6,887.2,887.0
14:00,0.9455185755993167,3.2,79.0,72.0,23.7,22.8,77.0,887.0,0.0,5.6,887.1,886.9
15:00,0.9455185755993167,3.1,79.0,67.0,24.7,22.9,72.0,886.5,0.0,6.0,887.0,886.5
16:00,0.992546151641322,3.8,75.0,70.0,24.3,23.2,71.0,886.0,0.0,6.7,886.5,886.0
17:00,0.8660254037844386,3.0,72.0,59.0,25.6,23.9,60.0,885.3,0.0,6.8,886.1,885.3
18:00,0.8987940462991669,3.0,66.0,58.0,26.7,25.0,65.0,884.5,0.0,6.4,885.3,884.5
19:00,0.9902680687415704,3.5,67.0,60.0,25.7,24.7,60.0,883.8,0.0,6.3,884.5,883.8
20:00,0.9510565162951535,2.4,64.0,58.0,25.9,25.3,63.0,883.4,0.0,6.0,883.8,883.4
21:00,0.8660254037844387,3.1,87.0,60.0,25.9,21.3,83.0,883.7,2.0,12.1,883.8,883.4
22:00,0.9702957262759965,2.3,83.0,80.0,23.0,22.1,81.0,883.8,0.0,6.1,884.1,883.7
23:00,0.984807753012208,2.4,82.0,80.0,22.2,21.9,80.0,884.6,0.0,5.2,884.6,883.8
00:00,0.9396926207859084,1.7,88.0,80.0,22.0,20.9,87.0,884.8,0.0,4.7,884.9,884.6
01:00,0.8829475928589269,2.2,88.0,87.0,21.2,20.8,88.0,885.0,0.0,4.7,885.0,884.7
02:00,0.9396926207859084,2.6,89.0,86.0,20.8,20.5,86.0,885.2,0.0,4.8,885.2,884.9
03:00,0.8571673007021123,1.6,90.0,86.0,20.6,19.9,90.0,885.0,0.0,5.1,885.2,885.0
04:00,0.90630778703665,1.6,93.0,90.0,19.9,19.2,93.0,884.7,0.0,3.2,885.1,884.6
05:00,-0.43837114678907746,0.4,93.0,92.0,19.4,17.9,93.0,884.8,0.0,3.2,884.8,884.6
06:00,-0.08715574274765794,1.1,97.0,93.0,18.1,17.3,96.0,884.6,0.0,1.8,884.8,884.6
07:00,0.13917310096006533,0.7,97.0,96.0,18.1,17.4,97.0,884.5,0.0,1.8,884.7,884.5
08:00,0.13917310096006533,1.1,97.0,96.0,18.0,17.3,96.0,884.8,0.0,1.5,884.8,884.5
09:00,0.6819983600624986,1.3,97.0,96.0,17.9,17.4,97.0,885.4,0.0,1.9,885.4,884.8
10:00,0.9702957262759965,1.6,97.0,87.0,20.4,17.7,87.0,886.0,0.0,2.9,886.0,885.4
11:00,0.9902680687415704,3.7,89.0,80.0,21.5,19.9,81.0,886.9,0.0,7.6,886.9,886.0
12:00,0.9986295347545738,3.9,84.0,78.0,22.0,21.1,80.0,887.2,0.0,8.6,887.2,886.9
13:00,0.9335804264972017,3.8,81.0,73.0,23.3,21.7,75.0,887.2,0.0,8.4,887.3,887.2
14:00,0.9563047559630355,3.0,78.0,66.0,24.4,22.7,68.0,886.9,0.0,6.8,887.3,886.9
15:00,0.9510565162951535,2.8,71.0,58.0,25.8,23.7,62.0,886.4,0.0,7.1,886.9,886.4
16:00,0.9876883405951378,3.3,65.0,55.0,26.7,25.0,55.0,885.7,0.0,6.6,886.5,885.7
17:00,0.9986295347545738,2.0,61.0,48.0,27.4,25.8,52.0,884.7,0.0,7.9,885.7,884.6
18:00,0.9998476951563913,2.5,57.0,48.0,27.8,26.1,52.0,883.7,0.0,7.9,884.7,883.7
19:00,0.981627183447664,2.6,54.0,48.0,27.8,26.7,52.0,883.2,0.0,7.6,883.7,883.1
20:00,0.9945218953682733,3.1,55.0,49.0,27.6,25.9,51.0,882.6,0.0,6.6,883.2,882.5
21:00,0.984807753012208,2.8,54.0,50.0,27.0,25.9,51.0,882.9,0.0,7.1,882.9,882.6
22:00,0.9986295347545738,3.5,63.0,51.0,26.0,24.5,63.0,883.3,0.0,7.0,883.3,882.9
23:00,0.8290375725550417,2.1,69.0,62.0,24.6,23.2,69.0,884.0,0.0,5.9,884.0,883.3
00:00,0.8191520442889918,2.0,72.0,69.0,23.3,22.3,72.0,884.4,0.0,4.4,884.4,884.0
01:00,0.9743700647852352,2.3,76.0,72.0,22.4,21.9,74.0,884.9,0.0,4.3,884.9,884.4
02:00,0.8290375725550417,1.9,76.0,71.0,22.5,22.2,73.0,885.2,0.0,4.4,885.4,884.9
03:00,0.8571673007021123,1.5,75.0,73.0,22.3,21.9,75.0,884.9,0.0,4.2,885.2,884.8
04:00,0.7193398003386511,1.3,77.0,75.0,21.9,21.4,77.0,884.6,0.0,3.2,884.9,884.6
05:00,0.754709580222772,2.3,81.0,77.0,21.4,20.8,81.0,884.4,0.0,3.9,884.6,884.4
06:00,0.8290375725550417,1.9,83.0,81.0,20.8,20.4,81.0,884.1,0.0,4.3,884.5,884.1
07:00,0.7313537016191705,2.1,84.0,81.0,20.7,20.2,84.0,884.0,0.0,4.2,884.1,883.9
08:00,0.8090169943749475,1.7,87.0,84.0,20.2,19.7,86.0,884.3,0.0,4.0,884.3,883.8
09:00,0.5299192642332049,3.0,88.0,85.0,19.9,19.6,88.0,884.7,0.0,5.2,884.7,884.3
10:00,0.27563735581699916,2.2,89.0,86.0,20.1,19.6,87.0,885.4,0.0,5.4,885.4,884.6
11:00,-0.2588190451025207,1.5,88.0,85.0,20.3,19.8,87.0,885.9,0.0,3.8,885.9,885.4
12:00,0.17364817766693033,2.8,87.0,78.0,21.1,20.0,80.0,886.3,0.0,4.6,886.3,885.9
13:00,0.24192189559966773,3.1,82.0,72.0,21.9,20.8,74.0,886.3,0.0,5.2,886.4,886.3
14:00,0.20791169081775934,3.3,74.0,64.0,23.6,21.9,68.0,885.9,0.0,5.4,886.3,885.9
15:00,0.8571673007021123,2.7,71.0,62.0,24.3,23.0,67.0,885.4,0.0,5.2,886.0,885.4
16:00,0.6427876096865393,2.8,71.0,63.0,25.0,23.6,68.0,884.6,0.0,6.8,885.4,884.6
17:00,0.7771459614569709,2.3,73.0,62.0,25.4,23.7,65.0,883.9,0.0,6.5,884.6,883.9
18:00,0.9271838545667874,2.0,68.0,61.0,25.0,24.2,65.0,883.3,0.0,5.1,883.9,883.3
19:00,0.42261826174069944,1.9,67.0,62.0,24.8,24.3,63.0,882.5,0.0,3.8,883.3,882.5
20:00,0.35836794954530027,2.0,67.0,61.0,24.7,23.7,66.0,882.2,0.0,4.5,882.5,882.2
21:00,-0.10452846326765342,2.3,68.0,64.0,23.7,23.1,68.0,882.2,0.0,4.2,882.3,882.2
22:00,-0.06975647374412564,1.8,79.0,66.0,23.1,21.6,79.0,882.6,0.0,4.0,882.6,882.2
23:00,-0.4694715627858908,1.7,85.0,79.0,21.6,20.5,80.0,883.1,0.0,2.9,883.1,882.6
00:00,-0.8191520442889918,1.5,84.0,80.0,20.9,19.8,83.0,883.8,0.0,2.7,883.8,883.1
01:00,-0.544639035015027,1.4,89.0,82.0,20.3,19.1,88.0,884.5,0.0,2.3,884.5,883.7
02:00,-0.4383711467890778,2.1,89.0,85.0,19.9,19.4,89.0,884.3,0.0,3.3,884.6,884.3
03:00,-0.37460659341591235,1.4,89.0,88.0,19.9,19.7,88.0,884.0,0.0,3.1,884.3,884.0
04:00,-0.5877852522924734,1.7,89.0,87.0,19.7,19.3,87.0,883.4,0.0,2.8,884.0,883.4
05:00,0.39073112848927377,1.1,89.0,86.0,19.5,18.8,89.0,882.8,0.0,2.4,883.4,882.8
06:00,0.8191520442889918,0.7,92.0,89.0,19.1,18.4,92.0,882.3,0.0,3.1,882.8,882.3
07:00,-0.9612616959383188,1.0,94.0,90.0,18.8,17.6,94.0,882.5,0.0,1.8,882.5,882.3
08:00,0.777145961456971,1.0,94.0,89.0,19.1,18.0,89.0,883.1,0.0,2.2,883.1,882.4
09:00,0.9455185755993168,0.4,90.0,85.0,19.8,18.9,90.0,883.3,0.0,2.1,883.3,883.1
10:00,-0.40673664307580015,0.8,94.0,88.0,20.0,18.5,89.0,884.0,0.0,1.6,884.0,883.2
11:00,-0.20791169081775987,2.4,89.0,79.0,21.8,20.0,80.0,884.3,0.0,4.3,884.3,884.0
12:00,-0.6691306063588581,3.0,80.0,71.0,23.3,21.6,73.0,884.5,0.0,6.1,884.5,884.3
